HOC Item,Annex II Definition,Functional Team - Department,Project job code,Employee ID #,Sum of Time (Hours)
1,General & Transition Management,Capital Programs and Back End Transition,Vice President,AT004051,59.0
1,,Corporate Services,Director,TEMP375,176.0
1,,Corporate Services,Senior Analyst,TEMP139,166.0
1,,Corporate Services,Senior Analyst,TEMP090,172.0
1,,Corporate Services,Senior Manager,MC900008,158.0
1,,Corporate Services,Senior Manager,MC900009,43.0
1,,Corporate Services,Vice President,MC900003,34.0
1,,Customer Service,Analyst,TEMP372,120.0
1,,Customer Service,Analyst,TEMP296,80.0
1,,Customer Service,Director,MC900027,4.0
1,,Customer Service,Field Supervisor,AT022731,15.0
1,,Customer Service,Manager,AT015858,15.0
1,,Customer Service,Senior Analyst,AT102970,9.5
1,,Customer Service,Senior Analyst,TEMP255,80.0
1,,Customer Service,Senior Analyst,TEMP213,40.0
1,,Customer Service,Senior Analyst,TEMP063,120.0
1,,Customer Service,Senior Analyst,TEMP075,120.0
1,,Customer Service,Senior Analyst,TEMP313,120.0
1,,Customer Service,Senior Analyst,TEMP131,120.0
1,,Customer Service,Senior Analyst,TEMP314,72.0
1,,Customer Service,Senior Analyst,TEMP350,36.0
1,,Customer Service,Senior Analyst,TEMP272,36.0
1,,Customer Service,Senior Analyst,TEMP293,9.0
1,,Executive,Administrative Support,AT114368,151.0
1,,Executive,Vice President,AT003196,181.0
1,,Executive,Vice President,QS037890,18.0
1,,Financial Management,Manager,QS061408,3.0
1,,Financial Management,Senior Manager,AT114365,18.5
1,,Financial Management,Vice President,QS017171,4.5
1,,HSE and Quality,Director,NWjphel29,52.0
1,,HSE and Quality,Field Tech,MC900017,131.0
1,,HSE and Quality,Senior Director,NWmpepi02,59.0
1,,HSE and Quality,Vice President,MC900001,72.0
1,,Integration Management Office,Administrative Support,AT016798,156.0
1,,Integration Management Office,Administrative Support,AT018495,3.5
1,,Integration Management Office,Administrative Support,AT105397,141.5
1,,Integration Management Office,Administrative Support,AT116075,18.5
1,,Integration Management Office,Analyst,AT105533,9.0
1,,Integration Management Office,Analyst,AT109687,120.0
1,,Integration Management Office,Manager,AT004852,122.0
1,,Integration Management Office,Manager,AT103480,98.0
1,,Integration Management Office,Senior Analyst,AT109252,100.0
1,,Integration Management Office,Senior Manager,AT017167,212.0
1,,Integration Management Office,Vice President,AT014535,220.0
1,,Integration Management Office,Vice President,AT017346,99.0
1,,ITOT,Senior Analyst,AT102751,5.0
1,,ITOT,Vice President,QS071472,32.0
1,,Operations,Director,MC900012,123.0
1,,Operations,Director,MC900015,1.0
1,,Operations,Director,QS116459,4.0
1,,Operations,Engineer,AT112360,15.0
1,,Operations,Field Supervisor,AT020449,8.0
1,,Operations,Field Supervisor,AT021005,17.0
1,,Operations,Field Supervisor,AT021565,1.0
1,,Operations,Field Supervisor,QS179065,91.0
1,,Operations,Manager,AT014817,21.5
1,,Operations,Senior Analyst,TEMP395,8.0
1,,Operations,Senior Analyst,TEMP140,40.0
1,,Operations,Senior Manager,AT003498,10.0
1,,Operations,Senior Manager,AT019843,10.0
1,,Operations,Vice President,AT022129,35.0
1,,Regulatory,Senior Manager,AT108770,4.5
1,,Regulatory,Vice President,QS146648,4.5
1,,Utility Transformation,Administrative Support,QT088060,25.0
1,,Utility Transformation,Analyst,QT088167,44.5
1,,Utility Transformation,Director,MC900002,105.0
1,,Utility Transformation,Director,QT088213,90.5
1,,Utility Transformation,Director,QT088326,49.0
1,,Utility Transformation,Engineer,AT103813,15.0
1,,Utility Transformation,Engineer,AT110040,1.5
1,,Utility Transformation,Engineer,QT088329,1.0
1,,Utility Transformation,Manager,AT002033,150.0
1,,Utility Transformation,Manager,AT021428,71.5
1,,Utility Transformation,Manager,AT108042,52.5
1,,Utility Transformation,Vice President,QT088015,10.0
1,,Utility Transformation,Vice President,QT088048,4.0
1,General & Transition Management Total,,,,4844.0
1.01,Government Approvals,Regulatory,Manager,AT208674,82.0
1.01,,Regulatory,Vice President,QS146648,3.0
1.01,Government Approvals Total,,,,85.0
1.02,"Plan to Address Gaps in Assets, Technology, Processes, etc. (plan to include cost estimates)",Customer Service,Administrative Support,TEMP087,3.0
1.02,,Regulatory,Manager,AT208674,79.0
1.02,,Utility Transformation,Manager,AT022686,2.0
1.02,,Utility Transformation,Vice President,QT088356,32.0
1.02,"Plan to Address Gaps in Assets, Technology, Processes, etc. (plan to include cost estimates) Total",,,,116.0
1.03,PREB Rate Order Filing (Initial Budgets and Liability Waiver approvals),Regulatory,Analyst,AT111542,68.0
1.03,,Regulatory,Analyst,AT112548,72.0
1.03,,Regulatory,Director,AT201990,80.0
1.03,,Regulatory,Senior Manager,AT108770,66.0
1.03,,Regulatory,Vice President,QS146648,65.0
1.03,PREB Rate Order Filing (Initial Budgets and Liability Waiver approvals) Total,,,,351.0
2.01,Development and Implementation of an Operations Takeover Plan for Transmission and Sub-Trans,iOsspioenra Itniosindse and Outside of the Plant,Engineer,AT112360,15.0
2.01,,Operations,Senior Manager,AT005226,12.0
2.01,,Utility Transformation,Engineer,TEMP097,64.0
2.01,Development and Implementation of an Operations Takeover Plan for Transmission and Sub-Tran,mission Inside and Outside of the Plant Total,,,91.0
2.02,Development and Implementation of an Operational Takeover Plan for the Electric Distribution Syst,mOperations,Engineer,AT112360,4.0
2.02,,Utility Transformation,Director,QT088262,25.0
2.02,,Utility Transformation,Senior Analyst,TEMP109,80.0
2.02,,Utility Transformation,Vice President,QT088356,4.0
2.02,Development and Implementation of an Operational Takeover Plan for the Electric Distribution Sy,tem Total,,,113.0
2.0301,Transition Plan for T&D Control Centers,Utility Transformation,Director,QT088358,131.0
2.0301,,Utility Transformation,Engineer,TEMP171,23.0
2.0301,,Utility Transformation,Engineer,TEMP137,36.0
2.0301,,Utility Transformation,Manager,AT009474,157.5
2.0301,,Utility Transformation,Manager,AT108042,20.0
2.0301,,Utility Transformation,Manager,TEMP025,168.0
2.0301,,Utility Transformation,Senior Analyst,TEMP277,40.0
2.0301,,Utility Transformation,Senior Director,QT088130,14.0
2.0301,,Utility Transformation,Senior Director,QT088285,40.0
2.0301,,Utility Transformation,Senior Director,QT088359,73.0
2.0301,,Utility Transformation,Vice President,QT088208,60.0
2.0301,Transition Plan for T&D Control Centers Total,,,,762.5
2.0302,Transition Plan for Operations and Maintenance (O&M) Activities,Operations,Director,MC900015,11.5
2.0302,,Operations,Director,QS116459,68.0
2.0302,,Operations,Field Supervisor,AT005130,42.0
2.0302,,Operations,Field Supervisor,AT020434,2.0
2.0302,,Operations,Field Supervisor,AT111882,111.0
2.0302,,Operations,Manager,AT014495,150.0
2.0302,,Operations,Manager,AT014817,111.5
2.0302,,Operations,Senior Manager,AT005226,58.0
2.0302,,Operations,Senior Manager,AT019843,3.5
2.0302,,Operations,Vice President,AT022129,103.0
2.0302,Transition Plan for Operations and Maintenance (O&M) Activities Total,,,,660.5
2.0303,Emergency Response/Disaster Recovery/Business Continuity Plans,HSE and Quality,Vice President,MC900001,57.0
2.0303,,Integration Management Office,Manager,AT103480,91.5
2.0303,,Integration Management Office,Vice President,AT017346,4.0
2.0303,,Operations,Senior Manager,AT003498,39.0
2.0303,,Operations,Senior Manager,AT005226,4.0
2.0303,,Operations,Vice President,AT022129,33.0
2.0303,Emergency Response/Disaster Recovery/Business Continuity Plans Total,,,,228.5
2.0304,Fleet Management Plan,Operations,Field Supervisor,AT021005,8.0
2.0304,,Operations,Field Supervisor,AT021565,26.0
2.0304,,Operations,Vice President,QS0DU100,16.0
2.0304,Fleet Management Plan Total,,,,50.0
2.0305,Asset Management,Utility Transformation,Director,QT088113,1.0
2.0305,,Utility Transformation,Engineer,AT019026,1.0
2.0305,,Utility Transformation,Field Supervisor,AT103914,17.5
2.0305,,Utility Transformation,Manager,AT021428,11.5
2.0305,,Utility Transformation,Manager,TEMP399,128.5
2.0305,,Utility Transformation,Senior Analyst,TEMP303,80.0
2.0305,,Utility Transformation,Senior Analyst,TEMP341,80.0
2.0305,,Utility Transformation,Senior Analyst,TEMP177,80.0
2.0305,,Utility Transformation,Senior Analyst,TEMP332,80.0
2.0305,,Utility Transformation,Senior Analyst,TEMP150,80.0
2.0305,,Utility Transformation,Senior Analyst,TEMP319,40.0
2.0305,,Utility Transformation,Senior Analyst,TEMP260,80.0
2.0305,,Utility Transformation,Senior Analyst,TEMP277,40.0
2.0305,,Utility Transformation,Senior Director,QT088041,33.0
2.0305,,Utility Transformation,Senior Director,QT088095,3.0
2.0305,,Utility Transformation,Senior Director,QT088252,13.0
2.0305,,Utility Transformation,Senior Manager,QT089031,35.0
2.0305,,Utility Transformation,Vice President,QS085708,1.0
2.0305,Asset Management Total,,,,804.5
2.0306,Workforce Management & Training Plan,HSE and Quality,Director,NWjphel29,15.0
2.0306,,HSE and Quality,Director,NWjwies77,4.0
2.0306,,HSE and Quality,Manager,NWjwats22,91.0
2.0306,,HSE and Quality,Senior Analyst,NWpwarn58,9.5
2.0306,,HSE and Quality,Trainer,NWjlope28,176.0
2.0306,,HSE and Quality,Vice President,MC900001,3.0
2.0306,Workforce Management & Training Plan Total,,,,298.5
2.0307,Safety Management Plan,HSE and Quality,Administrative Support,MC900036,120.0
2.0307,,HSE and Quality,Analyst,MC900020,171.0
2.0307,,HSE and Quality,Analyst,TEMP033,160.0
2.0307,,HSE and Quality,Director,QS080701,160.0
2.0307,,HSE and Quality,Field Tech,AT104629,135.0
2.0307,,HSE and Quality,Field Tech,MC900017,48.0
2.0307,,HSE and Quality,Senior Analyst,TEMP093,121.5
2.0307,,HSE and Quality,Senior Analyst,TEMP076,120.0
2.0307,,HSE and Quality,Vice President,MC900001,22.0
2.0307,,HSE and Quality,Vice President,QS145447,48.0
2.0307,,Operations,Field Supervisor,AT020449,3.0
2.0307,Safety Management Plan Total,,,,1108.5
2.0308,Engineering and Asset Management,Utility Transformation,Analyst,QT088290,31.5
2.0308,,Utility Transformation,Analyst,TEMP247,27.0
2.0308,,Utility Transformation,Director,QT088231,86.0
2.0308,,Utility Transformation,Director,QT088243,24.0
2.0308,,Utility Transformation,Director,QT088251,96.5
2.0308,,Utility Transformation,Director,QT088254,68.0
2.0308,,Utility Transformation,Director,QT088279,109.5
2.0308,,Utility Transformation,Director,QT088315,174.0
2.0308,,Utility Transformation,Director,QT088339,49.0
2.0308,,Utility Transformation,Director,QT088344,167.0
2.0308,,Utility Transformation,Director,QT088346,156.0
2.0308,,Utility Transformation,Director,TEMP028,30.5
2.0308,,Utility Transformation,Engineer,AT018880,125.0
2.0308,,Utility Transformation,Engineer,AT103813,90.5
2.0308,,Utility Transformation,Engineer,AT108079,134.0
2.0308,,Utility Transformation,Engineer,QT088194,53.0
2.0308,,Utility Transformation,Engineer,QT088258,56.0
2.0308,,Utility Transformation,Engineer,QT088296,76.0
2.0308,,Utility Transformation,Engineer,QT088307,141.0
2.0308,,Utility Transformation,Engineer,QT088330,148.0
2.0308,,Utility Transformation,Engineer,QT089077,17.5
2.0308,,Utility Transformation,Engineer,TEMP010,9.5
2.0308,,Utility Transformation,Engineer,TEMP052,19.0
2.0308,,Utility Transformation,Engineer,TEMP338,136.0
2.0308,,Utility Transformation,Engineer,TEMP356,22.5
2.0308,,Utility Transformation,Field Supervisor,QT088227,78.0
2.0308,,Utility Transformation,Manager,AT010451,88.0
2.0308,,Utility Transformation,Manager,TEMP042,24.5
2.0308,,Utility Transformation,Senior Analyst,TEMP379,72.0
2.0308,,Utility Transformation,Senior Analyst,TEMP060,72.0
2.0308,,Utility Transformation,Senior Analyst,TEMP185,80.0
2.0308,,Utility Transformation,Senior Director,QT088083,38.0
2.0308,,Utility Transformation,Senior Director,QT088095,94.5
2.0308,,Utility Transformation,Senior Director,QT088130,29.0
2.0308,,Utility Transformation,Senior Director,QT088160,43.0
2.0308,,Utility Transformation,Senior Director,QT088289,97.0
2.0308,,Utility Transformation,Senior Director,QT088341,19.5
2.0308,,Utility Transformation,Senior Director,QT088342,144.0
2.0308,,Utility Transformation,Senior Director,QT088347,84.5
2.0308,,Utility Transformation,Senior Director,QT088357,96.0
2.0308,,Utility Transformation,Senior Director,QT088382,78.0
2.0308,,Utility Transformation,Senior Director,TEMP024,13.5
2.0308,,Utility Transformation,Senior Director,TEMP027,49.0
2.0308,,Utility Transformation,Senior Manager,QT088360,144.0
2.0308,,Utility Transformation,Senior Manager,QT089048,47.5
2.0308,,Utility Transformation,Senior Manager,TEMP032,47.5
2.0308,,Utility Transformation,Senior Manager,TEMP040,121.0
2.0308,,Utility Transformation,Senior Manager,TEMP043,22.0
